Course ID,Course Name,Course Description,Term(s) Offered,Staff,Equivalent Courses,Prerequisites
HIST 24406,  (Un)popular Fiction: Chosŏn Era Novels and Readership,"
This course is an introduction to the prose literature of the Chosŏn dynasty (1392-1910) of Early Modern Korea with a focus on novels and short stories, their readers, and their detractors. We will examine major works of early modern Korean literature in translation, investigate elite and popular literary culture, and explore the status of novels according to contemporary critics. The course highlights questions of cosmopolitan and vernacular language, translation, script, the materiality of texts, readership and reading practices, gender, class, canonization, cross-cultural influence with China and Japan, and the legacies of Chosŏn literature in contemporary North and South Korea.",Spring,G. Reynolds,EALC 24407,NaN
HIST 24407,  Post-1945 South Korean Politics and Society,"
This course aims to go through recent English-written monographs in the Korean Studies field each week and to learn how scholarship addresses South Korean politics and socioeconomic changes in terms of class, gender, modernization, and development politics. By reading and discussing significant scholarly works, this course will help students extend their understanding of modern South Korean society and its relationship to the family, the state, civil society, popular culture, class, and the economy in both local and global contexts.",Autumn,E. Park,EALC 24408,NaN
HIST 24512,"  Everyday Maoism: Revolution, Daily Life, and Material Culture in Socialist China","
The history of Maoist China is usually told as a sequence of political campaigns, from land reform to the Cultural Revolution. Yet for the majority of the Chinese population, the promise of socialism was as much about material transformations as it was about political change: a socialist revolution would bring better living conditions, new work regimes and new consumption patterns. If we want to understand what socialism meant for different groups of people, we have to look at the ""new objects"" of socialist modernity, at changes in dress codes and apartment layouts, at electrification and city planning - or at the persistence of an older material life under a new socialist veneer. In this course, we will analyze workplaces in order to understand how socialism changed the way people worked, and look at rationing and consumption in the households to see how socialism affected them at home. We will look at how specific objects came to stand in for the Maoist revolution, for socialist modernity, or for feudal backwardness. The course has a strong comparative dimension: we will read some of the literature on socialism in the Soviet Union and Eastern Europe, to see how Chinese socialism differed from its cousins. Another aim is methodological. How can we understand the lives of people who wrote little and were rarely written about? To which extent can we read people's life experiences out of the material record of their lives?",Spring,J. Eyferth,EALC 24256,MA students can take with instructor's permission.
HIST 24518,  Women and Work in Modern East Asia,"
Worldwide, women do about 75 percent of the world's unpaid care and domestic work. They spend up to three hours more per day cooking and cleaning than men do, and anywhere from two to ten hours more per day looking after children and the elderly. Women's underpaid work at home and in industry subsidized the early stages of industrialization in nineteenth-century Britain, early twentieth-century Japan, and contemporary China, and women's unpaid contributions to their households enable employers worldwide to keep wages low. We know, at least in outline, how women came to carry double burdens in Europe and North America, but little research has been done so far about this process in East Asia. In this course, we will discuss when and how China, Japan, and Korea developed a division of labor in which most wage work was gendered male and reproductive work was marked female. Are current divisions of labor between men and women rooted in local cultures, or are they the result of industrial capitalist development? How do divisions of labor differ between the three East Asian countries, and how did developments in one East Asian country affect others?",Winter,Jacob Eyferth,"EALC 24501, HIST 34518, GNSE 30121, EALC 34501, GNSE 20121",NaN
HIST 24519,"  Li Zhi and 16th Century China: The Self, Tradition, and Dissent in Comparative Context","
The 16th century Chinese iconoclast Li Zhi (Li Zhuowu) has been rightly celebrated as a pioneer of individualism, one of history's great voices of social protest, an original mind powerfully arguing for genuine self-expression, and more. He was a Confucian official and erudite in the classics, yet in his sixties he takes the Buddhist tonsure, and late in life befriends the Jesuit Matteo Ricci. He sought refuge in a quiet monastery devoting his life to scholarship, yet invited constant scandal. His A Book to Burn ""sold like hotcakes,"" and attracted enough trouble that reportedly readers would surreptitiously hide their copies tucked up their sleeves, and was later banned by the state soon after his death. In this seminar, we will place Li both within the context of the history of ""Confucian"" thought, and within the literary, religious, and philosophical conversations of the late Ming. Using his writings as a productive case study, we will think about topics including ""religion,"" tradition and innovation, ""spontaneity"" and ""authenticity,"" and the relationship between ""classics"" and commentaries. Throughout, we will bring our discussions into comparative analysis, considering views of thinkers and traditions from other times and places. Chinese not required; for those interested, we will read select essays of Li's in Chinese and students may choose translation as a final project.",Autumn,Pauline Lee,"FNDL 23202, EALC 33202, DVPR 33202, HIST 34519, HREL 33202, EALC 23202, RLST 23202",NaN
HIST 24615,  History of Energy in East Asia,"
This course discusses the history of major energy sources in East Asia with a focus on coal, hydropower, and nuclear power plant. We pay close attention to both the technological side of the history of energy and how different energy sources interact with the social and political environment in Japan, China, and Koreas.",Spring,Y. Dong,"CHSS 34615, HIST 34615, EALC 24615, HIPS 24615, EALC 35615",NaN
HIST 24812,  East Asian Science and Technology: Ways of Knowing,"
This course is the first half of the East Asian Science, Technology, and Medicine series. The second part of the course will be offered in the spring quarter by Professor Jacob Eyferth. In this series, we will read major works on the history of STM in East Asia and constantly are in conversation with studies of this history in the globe.",Winter,Y. Dong,"CHSS 31812, HIST 34812, HIPS 24812, EALC 25812, EALC 35812",NaN
HIST 24813,  East Asian Science and Technology: Ways of Making,"
This is the second part of the East Asian Science, Technology, and Medicine series. In this series, we will read major works on the history of STM in East Asia and constantly are in conversation with studies of this history in the globe.",Spring,J. Eyferth,"EALC 34813, CHSS 34813, EALC 24813, HIST 34813, HIPS 24813",NaN
HIST 25023,  Tutorial: Evolution Beyond Darwin,"
One of the most identifiable images associated with evolution is the visage of Charles Darwin. Historical narratives of evolution center on Darwin's work, and scientific publications today still note whether or not Darwin pre-empted their ideas. This course aims to build a narrative of evolution that brings the story up to today, asking why so many see Darwin as a shorthand for evolution and what consequences that might have for the development and communication of the science. In addition, it will interrogate other ""iconic"" images and narratives in evolution, like the tree of life. We will ask where our ideas about evolution have come from, how they are perpetuated, and what consequence that might have for the discipline of evolutionary biology. The course has three aims: 1) to provide a historical understanding of evolution after Darwin; 2) to reflect on how evolution is communicated between scientists and to the broader public, and to ask how ""icons"" or Darwin himself suggest implicit meanings counter to the work of the scientists; and 3) to more broadly examine what is a science-a process or a body of knowledge?",Autumn. Offered in Autumn 2023,E. Kitchen,HIPS 29637,NaN
HIST 25030,"  Pacific Worlds: Race, Gender, Health, and the Environment","
This discussion-based course will introduce students to both classical and recent scholarship in Pacific World historiography. By adopting micro-historical, comparative, and transnational methods, students will examine the formation of three overlapping ""worlds"": The Antipodes, Polynesia, and the northeastern Pacific. Analyzing the myriad intersections of race, gender, health, and the environment, we will explore a range of large-scale historical processes that shaped and reshaped the Pacific between the mid-eighteenth and the mid-twentieth centuries. These processes include European exploration, settler colonialism, and indigenous sovereignty; sex, depopulation, and race science; labor, migration, and urbanization; industrialization and environmental exploitation; and imperial expansion and citizenship. The course is intended for students with an interest in the Pacific Islands, Australasia, and the North American West, as well as those interested in race, gender, health, or the environment within indigenous, immigrant, or settler colonial contexts. Required readings - which will consist of book chapters and academic articles - will be used to contextualize and critically analyze a variety of primary sources during each class session.",Spring,Christopher Kindell,"HIPS 20151, GLST 25151, HLTH 20151, CRES 20151, ENST 20151, GNSE 22151",NaN
HIST 25031,"  Climate Change, Environment, and Society","
How has natural and anthropogenic climate change shaped historical relationships between humans and their environments? Against the backdrop of planetary environmental emergencies of the early-21st century, this discussion-based course will consider various time scales of ecological, technological, social, and political transformation, including: the rise of agriculture, state formation, and civilizational collapse; the ""Medieval Warm Period"" and the ""Little Ice Age""; the Industrial Revolution, imperialism, and the consolidation of a global fossil fuel regime; the ""Great Acceleration"" of the mid-20th century; the development of modern climate science; and the social, political, and technological responses to human-induced global warming. Within these time scales, we will explore past dynamics of climate change, the environment, and society through the historical study of land management, population displacement and migration, resource extraction, energy production and consumption, the global commons, as well as the role of national and international governance arrangements in mediating the unequal distribution of environmental risk across the world. Ethics, morality, equity, and justice, among other concepts, will be investigated as we analyze historical connections among socio-environmental transformations and class-based, racialized, and gendered forms of inequality.",Offered twice a year.,Christopher Kindell,"GLST 21001, CEGU 20001, ENST 20011",NaN
HIST 25032,  The Politics of Environmental Knowledge,"
How has ""nature"" been understood and investigated in the modern world? Building upon diverse approaches to environmental history and philosophy, the history of science, and cultural studies, this course surveys the major frameworks through which the environment has been understood, investigated, and transformed since the origins of global modernity. Such issues are explored with reference to the mobilization of science, technology, and politics in several major areas of socio-
environmental transformation in the modern world. Case studies might explore, among other issues, empire, race, and public health; cities and infectious disease since the Black Death; the 'great enclosures' of land associated with settler colonialism; the 'Green Revolution' in industrial agriculture; strategies of resource stewardship, land conservation, terraforming, hydrological engineering and
watershed protection; the politics of global warming; and current debates on urban sustainability, carbon capture and geo-engineering. The course also considers the rise and evolution of environmentalist movements and conservation strategies, and the contested visions of nature they have embraced. The course concludes by investigating the competing paradigms of knowledge, science, and environment that underpin divergent contemporary programs of environmental governance and visions of 'sustainability'.",Offered twice a year.,Jessica Landau,"GLST 21002, ENST 20012, CEGU 20002",NaN
HIST 25033,"  Disease, Health, and the Environment in Global Context","
Recent concerns about monkeypox, COVID-19, Zika virus, and Ebola have attracted renewed attention to previous disease outbreaks that have significantly shaped human political, social, economic, and environmental history. Such diseases include: smallpox during the 16th-century Columbian exchange; syphilis during the 18th-century exploration and settlement of the Pacific; bubonic plague in the late-19th-century colonization and urbanization of South and East Asia; and yellow fever during America's 20th-century imperial projects across the Caribbean. Through readings, discussions, library visits, and written assignments that culminate in a final project, students in this course will explore how natural and human-induced environmental changes have altered our past experiences with disease and future prospects for health. First, we will examine how early writers understood the relationship between geography, environment, hereditary constitution, race, gender, and human health. We will then analyze the symbiotic relationship among pathogens, human hosts, and their environments. Finally, we will explore how social factors (e.g. migration, gendered divisions of labor, poverty, and segregation) and human interventions (e.g. epidemiology, medical technology, and sanitary engineering) have influenced the distribution of infectious diseases and environmental risks.",Spring,Christopher Kindell,"HLTH 22100, RDIN 22100, GLST 22101, HIPS 22210, CEGU 22100",NaN
HIST 25121,  History of Cartography,"
This course offers a grand overview of the key developments in mapmaking throughout history worldwide, from pre-literate cartography to the modern interactive digital environment. It looks at the producers, their audience, the technologies and artistic systems used, and the human and global contexts in which they developed. The course also features experiential learning components with field trips to map collections at Regenstein Library and Newberry Library.",Autumn 2024–25,Yue Lin,"GISC 28800, ARCH 28800, HIST 35121, GISC 38800, CHST 28800, CEGU 28800",NaN
HIST 25205,  The Scientific Image,"
This course explores the broad field of scientific image-making, focusing in particular on problems of formalism, abstraction, and realism. What makes a ""good"" scientific image? What kind of work do scientific images do? What philosophical, ideological, and political constraints underwrite attempts to render the complexity of events and entities in the world in stylized visual vocabularies? And how might we approach the work of aesthetics and style in image-making? We will examine these questions through a survey of several contemporary scholarly frameworks used for thinking about problems of representation in scientific practice, and will attend to such image-making practices as graphing, diagramming, modeling, doodling, illustrating, sculpting, and photographing, among other methods.",Spring,M. Rossi,"HIPS 25505, HIST 35205, CHSS 35205",NaN
HIST 25305,"  Magic, Miracles, and Medicine: Healthcare in the Bible and the Ancient World","
This course examines the complex issues surrounding the body, disability, and medical care in antiquity. It will be guided by a variety of questions, such as what was the root cause of bodily infirmity and disease in antiquity? How did cultural views of sex, gender, and race influence perceptions of the body and what it meant to be able bodied? Such questions are significant when considering what kind of access to healthcare marginalized groups had. In order to explore these questions, we will examine ancient Mediterranean views of medical care through material remains (e.g., magical amulets and healing shrines) and textual evidence (e.g., Galen and Hippocrates). After considering this wider cultural context, we will examine treatments in the Hebrew Bible, New Testament, and early Christianity. We will also explore how Christian concepts of medical care evolved in light of accounts of Jesus as a divine healer. In addition to this ancient evidence, we will engage with modern disability studies and sociological analyses to better orient our readings. At the end of the course, students will be better acquainted with the complex relationship between religion and medicine and how that affects modern healthcare decisions.",Spring,Richard Zaleski,"HIPS 20223, HLTH 20223, KNOW 20223, JWSC 20923, CCTS 21021, RLST 20223",NaN
HIST 25318,"  Wonder, Wonders, and Knowing","
In wonder is the beginning of philosophy,"" wrote Aristotle; Descartes also thought that those deficient in wonder were also deficient in knowledge. But the relationship between wonder and inquiry has always been an ambivalent one: too much wonder stupefies rather than stimulates investigation, according to Descartes; Aristotle explicitly excluded wonders as objects of inquiry from natural philosophy. Francis Bacon called wonders ""broken knowledge."" Since the sixteenth century, scientists and scholars have both cultivated and repudiated the passion of wonder; On the one hand, marvels (or even just anomalies) threaten to subvert the human and natural orders; on the other, the wonder they ignite inquiry into their causes. Wonder is also a passion tinged with the numinous, and miracles have long stood for the inexplicable in religious contexts. Above all, wonders demand attention and interpretation. This seminar will explore the long, vexed relationship between wonder, knowledge, and belief in the history of philosophy, science, and religion.",Spring. Spring 2024,Lorraine Daston,"PHIL 20926, HIST 35318, CHSS 30936, RLST 28926, HREL 30926, KNOW 30926, SCTH 30926, SCTH 20926, PHIL 30926",Consent is required for both grads and undergrads. This course will be taught in the first five weeks of the quarter. Reading knowledge of at least one language besides English would be helpful but not requried.
HIST 25508,"  Tutorial: Mathematical Knowledge: Race, Politics and Materiality","
Mathematical knowledge is commonly treated as objective and neutral, even though it is produced through specific societal contexts and in turn impacts those same contexts. In this course we will take a thematic approach to studying how mathematical and quantitative knowledges are produced and used through political processes from which they cannot be separated. We will look at examples such as the connections between plantation slavery and the precise measurement of molasses barrels in the 18th century, the gendered nature of the prestigious Tripos exam in the 19th century, 20th century attempts to quantify and manage reproduction, and 21st century issues of algorithmic policing. We will consider multiple angles for approaching the study of mathematics by connecting mathematical knowledge to topics such as labor, racial sciences, pedagogy, material tools, masculinity, nation-building, and embodiment. This will allow us to move beyond simply considering representation (of women in STEM, for example) to think about how gender and race are part of the construction of mathematical knowledge. In particular, this course will encourage students to think creatively about other possibilities for how we could justly and effectively use mathematics in our lives. There are no mathematical pre-requisites; students with a variety of experiences with mathematics will be able to participate fully in this course.",Spring. Offered in Spring 2024,Abigail Taylor-Roth,"GNSE 29647, HIPS 29647",NaN
HIST 25511,  A History of Cell and Molecular Biology,"
This course will trace the parallel histories of cell and molecular biology, primarily in the 20th century, by exploring continuities and discontinuities between these fields and their precursors. Through discussion, attempts will be made to develop definitions of cell and molecular biology that are based upon their practices and explanatory strategies, and to determine to what extent these practices and strategies overlap. Finally, the relevance of these definitions to current developments in biology will be explored. The course is not designed to be comprehensive, but will provide an overall historical and conceptual framework.",Spring,K. Matlin,"HIPS 25902, HIST 35511, CHSS 34300",This course does not meet the requirements for the Biological Sciences Major.
HIST 25602,  Ancient Empires IV: the Achaemenid Empire,"
This course introduces students to the Achaemenid Empire, also known as the First Persian Empire (ca. 550-330 BCE). We will be examining the political history and cultural accomplishments of the Achaemenids who, from their homeland in modern-day Iran, quickly rose to become one of the largest empires of the ancient world, ruling from North Africa to North India at their height. We will also be examining the history of Greek-Persian encounters and the image of the Achaemenids in Greek and Biblical literature. The students will visit the Oriental Institutes' archive and object collection to learn more about the University of Chicago's unique position in the exploration, excavation, and restoration of the Persian Empire's royal architecture and administrative system through the Persian Expedition carried out in the 1930s.",Autumn,Mehrnoush Soroush,"CLCV 21722, NEHC 20014",NaN
HIST 25613,  Saints and Sinners in Late Antiquity,"
Between the third and seventh centuries, Christian communities came to flourish throughout the Middle East and neighboring regions in the Roman and Iranian empires as well as the kingdoms of the Caucasus, Central Asia, and Ethiopia. This course will examine the development of Christian institutions and ideologies in relation to the distinctive social structures, political cultures, economies, and environments of the Middle East, with a focus on the Fertile Crescent. The makers of Middle Eastern Christianities were both saints and sinners. Holy men and women, monks, and sometimes bishops withdrew from what they often called ""the world"" with the intention of reshaping society through prayer, asceticism, and writing; some also intervened directly in social, political, and economic relations. The work of these saints depended on the cooperation of  aristocrats, merchants, and rulers who established enduring worldly institutions. To explore the dialectical relationship between saints and sinners, we will read lives of saints in various Middle Eastern languages in translation.",Autumn,R. Payne,"NEHC 20600, HIST 35613, NEHC 30600",NaN
HIST 25615,  Islamic Thought and Literature II,"
This course covers the period from ca. 950 to 1700, surveying works of literature, theology, philosophy, sufism, politics, history, etc., written in Arabic, Persian and Turkish, as well as the art, architecture and music of the Islamicate traditions. Through primary texts, secondary sources and lectures, we will trace the cultural, social, religious, political and institutional evolution through the period of the Fatimids, the Crusades, the Mongol invasions, and the ""gunpowder empires"" (Ottomans, Safavids, Mughals).",Winter,Adam Flower - Firas Alkhateeb,"NEHC 20602, SOSC 22100, RLST 20402, MDVL 20602",NaN
HIST 25616,  Islamic Thought and Literature III,"
This course covers the period from ca. 1700 to the present. It explores Muslim intellectuals' engagement with tradition and modernity in the realms of religion, politics, literature, and law. We discuss debates concerning the role of religion in a modern society, perceptions of Europe and European influence, the challenges of maintain religious and cultural authenticity, and Muslim views of nation-states and nationalism in the Middle East. We also give consideration to the modern developments of transnational jihadism and the Arab Spring. This course sequence meets the general education requirement in civilization studies.",Spring,Holly Shissler - Tobias Scheunchen,"NEHC 20603, SOSC 22200, RLST 20403",NaN
HIST 25705,  Everyday Life in the Early Islamic Period,"
How did people live in the early Islamic period? How did they work and study? What do we know about their relations with family members, loved ones, and neighbors? How did they relate to the administration and to people who ruled them? Did they get together to celebrate religious festivals? Did they have parties? What sources do we have to learn about their habits, routines, and feelings? What can we learn about every-day struggles, and how much do these differ from our own? This course aims to introduce undergraduate and early graduate students to the study of social history through a combination of literary and documentary sources from the early centuries of Islam. We will learn about both opportunities and limits of studying history from the ""bottom-up.""",Autumn,CECILIA PALOMBO,"HIST 35705, ISLM 30024, RLST 20324, NEHC 20024, NEHC 30024",NaN
HIST 25710,  Revolution and Piety in Islam,"
This course examines religious responses to major political upheavals in Islamic history, from the Abbasid revolution to the age of European expansion. Topics include the Mongol destruction of the caliphate in 1258 and the opening and closing of confessional boundaries; the formation of regional Muslim empires in the 16th century; Ibn Arabi, Ibn Taymiyya, and Ibn Khaldun; the development of alternative spiritualities, mysticism, and messianism in the fifteenth century; trans-confessionalism, antinomianism, and the articulation of sacral sovereignties in the sixteenth century; the pious responses to European colonialism . All work in English.",Spring,Mustafa Kaya,"NEHC 20113, ISLM 30113, NEHC 30113, HIST 35710, RLST 21113","Some knowledge of Arabic, Persian, Turkish, French, German is helpful."
HIST 25711,  Armenian History through Art and Culture,"
Who are the Armenians and where do they come from? What is the cultural contribution of Armenians to their neighbors and overall world heritage? This crash-course will try to answer these and many other similar questions while surveying Armenian history and elements of culture (mythology, religion, manuscript illumination, art, architecture, etc.). It also will discuss transformations of Armenian identity and symbols of 'Armenianness' through time, based on such elements of national identity as language, religion, art, or shared history. Due to the greatest artistic quality and the transcultural nature of its monuments and artifacts, Armenia has much to offer in the field of Art History, especially when we think about global transculturation and appropriation among cultures as a result of peoples' movements and contacts. The course is recommended for students with interest in Armenian Studies or related fields, in Area or Civilizations Studies, Art and Cultural Studies, etc.",Autumn,Hripsime Haroutunian,"NEHC 20692, ARTH 20692, NEHC 30692, ARCH 20692",NaN
HIST 25809,"  The Economy by Other Means"": New Approaches to the Economy of the Late and Post-Ottoman Middle East","
Questions around political economy and capitalism are once again gaining prominence in Ottoman and Middle East studies. Whereas these questions have been fundamental to the traditional confines of economic history and political economy, this new engagement takes its cue from a different and diverse pool of fields. As one observer recently put it, an emerging body of literature engages with ""the economy by other means."" This course takes stock of these still-uncharted means by bringing together and examining a selection of recently published books treating economic themes in the late Ottoman Empire and in the post-Ottoman Middle East up to the midtwentieth century. How do these books challenge, build on, and/or conform to the contours of economic modes of analysis? What do they contribute to our understanding of capitalism in the Middle East? What are the new archives they create for the study of economic life? How do they destabilize the conceptual repertoire of political economy? More importantly, in what ways do they change our view of the late Ottoman and modern Middle East? This course will take us from malaria in Anatolia to ""men of capital"" in Mandate Palestine; from legal battles on family inheritance in Ottoman Syria to the ""colonial economism"" of the British occupation of Egypt; from the late Ottoman culture of productivity to the rise of the Arabic novel during nahda.",Winter,Murat Bozluolcay,"KNOW 30866, NEHC 20866, HIST 35803, NEHC 30866, KNOW 20866",NaN
HIST 25810,  History of Jews in the Middle East,"
This class examines the history of Jews in the Middle East from the early modern period, when many Jewish refugees fleeing Spain and Portugal settled in the Ottoman Empire, to the modern Period, when Jews debated and challenged colonialist, reformist, nationalist, leftist, and secular ideologies. Reading novels, memoirs, and new works in the fields of Jewish and Middle Eastern Studies, we will examine how early modernity and modernity gave birth to new identity formations and new frames of belonging. We will visit the unknown histories of early modern Jews who produced translations and explications of the Hebrew Bible in Arabic, of Jews and Muslims who fought together Christian missionary activities, of Arab Jewish feminists, and of Jewish communists who established anti-Zionist societies in the Middle East.",Autumn,Orist Bashkin,"NEHC 20228, JWSC 23405, RLST 20228",NaN
HIST 26106,  Tropical Commodities in Latin America,"
This colloquium explores selected aspects of the social, economic, environmental, and cultural history of tropical export commodities from Latin America-- e.g., coffee, bananas, sugar, tobacco, henequen, rubber, vanilla, and cocaine. Topics include land, labor, capital, markets, transport, geopolitics, power, taste, and consumption.",Winter,E. Kourí,"LACS 36106, LACS 26106, CEGU 26106, HIST 36106",NaN
HIST 26220,  Brazil: Another American History,"
Brazil is in many ways a mirror image of the United States: an almost continental democracy, rich in natural resources, populated by the descendants of three continents, shaped by colonialism, slavery, and sui generis liberal capitalism. Why, then, has Brazil's historical path been so distinct? To explore this question, this course will focus on the history of economic development, race, citizenship, urbanization, the environment, popular culture, violence, and the challenge of democracy. Assignments: Weekly reading, participation in discussions, weekly journal posts, and a final paper.",Winter,B. Fischer,"LACS 26220, HIST 36220, LACS 36220",NaN
HIST 26302,  A History of Youth in Latin America,"
This course will examine the history of youth-as a social category, and as an experience-in Latin America. We will consider histories of childhood, student activism, and youth culture across the region to consider how young people experience everyday life, and how they effect change. Course materials will combine primary sources including film, music, and other visual and performance artworks with scholarship on childhood and youth.",Spring,Diana Schwartz-Francisco,"CHDV 21816, LACS 21816, GLST 21816",NaN
HIST 26305,  Covid-19 and other epidemics in Latin American History,"
This course is designed as an introduction to the history of epidemics and pandemics in Latin America from the XVI century to the present. Emphasis will be on using epidemics and pandemics as historical lenses to illuminate key dimensions of Latin America's society like discrimination, citizenship, authoritarianism, popular resilience and globalization. We will discuss the relationship between epidemics and pandemics and international commerce, analyze the role played by structural inequities and inadequate responses by governments in the intensification of disease outbreaks, and assess popular reactions to government's action and inaction. An organizing principle of several sessions will be ""Necropolitics"" (a concept originally coined by Cameroonian philosopher Achille Mbembe) applied to social studies of health. These studies indicate that it is misleading to consider epidemics and pandemics as equal-opportunity threats since widespread disease outbreaks are usually more acute and tragic for vulnerable populations. A distinctive feature of necropolitics and Covid-19 was a misplaced hope for ""herd immunity"", embraced by Brazilian President Jair Bolsonaro, namely the natural protection from an infectious disease that happens when a population is immune through previous infection, with the assumption that a large number of people had to die.",Autumn,Marcos Cueto,"LACS 35132, HIST 36305, LACS 25132",NaN
HIST 26306,  Water in Latin America,"
The course will explore how water shapes-and is shaped by-humans in Latin America. Drawing from case studies from the pre-Columbian era to the present, the course will consider struggles over aquatic resources, dam building, and hydraulic development, as well as the social life of water in the region. Some background in Latin American history or politics is helpful but not required.",Course not offered in 24-25,Diana Schwartz-Francisco,"CEGU 26381, LACS 26381",NaN
HIST 26307,  The Simultaneity of Time: Reading Jorge Luis Borges in the 21st Century,"
The Simultaneity of Time: Reading Jorge Luis Borges in the 21st Century",Winter,Mauricio Tenorio,FNDL 29205,NaN
HIST 26318,  Indigenous Politics in Latin America,"
This course examines the history of Indigenous policies and politics in Latin America from the first encounters with European empires through the 21st Century. Course readings and discussions will consider several key historical moments across the region: European encounters/colonization; the rise of liberalism and capitalist expansion in the 19th century; 20th-century integration policies; and pan-Indigenous and transnational social movements in recent decades. Students will engage with primary and secondary texts that offer interpretations and perspectives both within and across imperial and national boundaries.",Course not offered in 24-25,Diana Schwartz Francisco,"ANTH 23077, CRES 26380, RDIN 26380, LACS 36380, HIPS 26380, GLST 26380, LACS 26380, RDIN 36380",NaN
HIST 26319,  Art and the Archive in Greater Latin America,"
How and why do artists engage records of the past in their work? What are the politics of both creating archives and culling from them to visually render or represent the past? Focusing on artists, art-making, and archives in Greater Latin America (including the United States), this course will consider the process of collecting and creating in artistic production from the perspectives of both theory and practice. Students in the course will work directly with archival materials in Chicago and collaborate on contemporary artistic projects that consider issues of relevance to people and places of the Western Hemisphere.",Course not offered in 24-25,Diana Schwartz-Francisco,"RDIN 26384, CHST 26384, ARTH 26384, ARTV 20017, LACS 26384",NaN
HIST 26500,"  History of Mexico, 1876 to Present","
From the Porfiriato and the Revolution to the present, this course is a survey of Mexican society and politics, with emphasis on the connections between economic developments, social justice, and political organization. Topics include fin de siècle modernization and the agrarian problem; causes and consequences of the Revolution of 1910; the making of the modern Mexican state; relations with the United States; industrialism and land reform; urbanization and migration; ethnicity, culture, and nationalism; economic crises, neoliberalism, and social inequality; political reforms and electoral democracy; violence and narco-trafficking; the end of PRI rule; and AMLO's new government.",Winter,E. Kourí,"CRES 26500, LACS 26500, HIST 36500, LACS 36500",NaN
HIST 26511,  Cities from Scratch:  The History of Urban Latin America,"
Latin America is one of the world's most urbanized regions and its urban heritage long predates European conquest. Yet the region's urban experience has generally been understood through North Atlantic models, which often treat Latin American cities as disjunctive, distorted knockoffs of idealized US or European cities. This class interrogates and expands those North Atlantic visions by emphasizing the history of vital urban issues such as informality, inequality, intimacy, race, gender, violence, plural regulatory regimes, the urban environment, and rights to the city. Interdisciplinary course materials include anthropology, sociology, history, fiction, film, photography, and journalism produced from the late nineteenth to the early twenty-first centuries.",Winter,B. Fischer,"ENST 26511, LACS 26510, LACS 36510, HIST 36511, ARCH 26511, CEGU 26511","Some coursework in Latin American studies, urban studies, and/or history"
HIST 26606,  Postcolonial and Decolonial History and Theory,"
This course introduces students to some key texts in post and decolonial theory. Our goals in this class are three-fold. First, to familiarize students with foundational thinkers who have inspired both decolonial and postcolonial work.  We draw attention to the different ways in which their ideas have been deployed in subsequent post and decolonial scholarship. Second, we ask questions oriented towards comparison of postcolonial and decolonial approaches: What, if any, are the points of overlap between decolonial and postcolonial thought? How do both bodies of work critique and contest the legacies of empire? Third, we investigate the present and possible futures of decolonial and postcolonial thought.",Spring,Rochona Majumdar &amp; Lisa Wedeen,"SALC 20704, PLSC 20704, CDIN 20704, CCCT 20704",NaN
HIST 26703,"  Modernity and Islam in South Asia: Piety, Poetry and Politics","
What did the experience of modernity and colonialism look like for Islamic South Asia? How did South Asian Muslims, especially in North India, respond to the many challenges and opportunities modernity brought in its wake? This course explores how custodians of Islamic religious and poetic traditions responded to colonial modernity. We also introduce some key ideas of postcolonial studies, and apply as well as think critically about them in the light of the Indo-Islamic case-study.  
We begin the course by exploring the possible meanings of modernity and colonialism, before diving deeper into Indo-Islamic modernity using two broad and highly intertwined themes: religion, encompassing subthemes of science, rationality, and progress, and literature, especially poetry and the fate of the Persian and Urdu ghazal tradition, occasionally making comparisons with other pre-colonial genres in other Indian languages. We will look at the creation of new genres and new kinds of poetry in Persian and Urdu that emerge both to answer the call of modernity and sometimes to reject and attack it.",Winter,Shariq Khan,SALC 25327,NaN
HIST 27001,"  Law and Society in Early America, 1600-1800","
This colloquium considers law, legal institutions, and legal culture within the lived experience of colonial and revolutionary America. It will emphasize the interaction of social development and legal development and will explore the breadth of everyday experience with legal institutions like the jury, with courts as institutions for resolving disputes, and with the prosecution of crime.",Winter,E. Cook,HIST 37001,Upper-level undergraduates and early state graduate students.
HIST 27209,  Martin and Malcolm: Life and Belief,"
This course examines the religious, social, cultural, political, and personal factors that went into the making of the two most prominent public leaders and public intellectuals emerging from the African American community in the 1950s and 1960s: Malcolm X and Martin Luther King, Jr.  We will review their autobiographies, the domestic trends within the USA, and the larger international forces operating during their times. Their life stories provide the contexts for the sharp differences and surprising commonalities in their political thought and religious beliefs. At the end of their lives, were they still radical contrasts, sharing the same views, or had their beliefs shifted - did Malcolm become Martin and Martin become Malcolm?",Winter,Dwight Hopkins,"AMER 24601, FNDL 24601, RLST 24601, RDIN 24601",NaN
